		GENOME: 1004954.6	GENOME: 520487.6	GENOME: 29461.21
FAMILY: PGF_00055400	FAMILY Name: THIO:disulfide Interchange Protein	1	8	1
FAMILY: PGF_00055471	FAMILY Name: TPR domain protein	1	8	1
FAMILY: PGF_00055517	FAMILY Name: TPR domain protein	1	8	1
FAMILY: PGF_00055634	FAMILY Name: TPR repeat, SEL1 subfamily	1	8	1
FAMILY: PGF_00055728	FAMILY Name: TRANSPORTER, DME FAMILY	1	8	1
FAMILY: PGF_00055741	FAMILY Name: TRAP dicarboxylate transporter, DctM subunit, unknown substrate 6	1	8	1
FAMILY: PGF_00055771	FAMILY Name: TRAP dicarboxylate transporter, DctQ subunit, unknown substrate 6	1	8	1
FAMILY: PGF_00055788	FAMILY Name: TRAP transporter solute receptor, TAXI family precursor	1	8	1
FAMILY: PGF_00055816	FAMILY Name: 2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	1	8	1
FAMILY: PGF_00055966	FAMILY Name: Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170)	1	8	1
FAMILY: PGF_00056138	FAMILY Name: 2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20)	1	8	1
FAMILY: PGF_00056273	FAMILY Name: Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)	1	8	1
FAMILY: PGF_00056496	FAMILY Name: Thiamin ABC transporter, ATPase component	1	8	1
FAMILY: PGF_00056498	FAMILY Name: Thiamin ABC transporter, substrate-binding component	1	8	1
FAMILY: PGF_00056502	FAMILY Name: Thiamin ABC transporter, transmembrane component	1	8	1
FAMILY: PGF_00056544	FAMILY Name: Thiazole synthase (EC 2.8.1.10)	1	8	1
FAMILY: PGF_00056559	FAMILY Name: Thioesterase	1	8	1
FAMILY: PGF_00056662	FAMILY Name: Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	1	8	1
FAMILY: PGF_00056712	FAMILY Name: Thiol:disulfide oxidoreductase TlpA	1	8	1
FAMILY: PGF_00056809	FAMILY Name: Thiosulfate reductase cytochrome B subunit (membrane anchoring protein)	1	8	1
FAMILY: PGF_00056828	FAMILY Name: Anthranilate synthase, aminase component (EC 4.1.3.27) / Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	1	8	1
FAMILY: PGF_00056883	FAMILY Name: Thymidylate kinase (EC 2.7.4.9)	1	8	1
FAMILY: PGF_00056897	FAMILY Name: Thymidylate synthase (EC 2.1.1.45)	1	8	1
FAMILY: PGF_00056900	FAMILY Name: 2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	1	8	1
FAMILY: PGF_00056935	FAMILY Name: TldD protein, part of TldE/TldD proteolytic complex	1	8	1
FAMILY: PGF_00057016	FAMILY Name: Tol biopolymer transport system, TolR protein	1	8	1
FAMILY: PGF_00057032	FAMILY Name: Tol-Pal system-associated acyl-CoA thioesterase	1	8	1
FAMILY: PGF_00057160	FAMILY Name: TonB-dependent receptor	1	8	1
FAMILY: PGF_00057248	FAMILY Name: TonB-dependent siderophore receptor	1	8	1
FAMILY: PGF_00057270	FAMILY Name: Topoisomerase IV subunit A (EC 5.99.1.-)	1	8	1
FAMILY: PGF_00057374	FAMILY Name: TraJ protein	1	8	1
FAMILY: PGF_00057385	FAMILY Name: Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	1	8	1
FAMILY: PGF_00057399	FAMILY Name: Transaldolase (EC 2.2.1.2)	1	8	1
FAMILY: PGF_00057402	FAMILY Name: Transamidase GatB domain protein	1	8	1
FAMILY: PGF_00057430	FAMILY Name: Transcription elongation factor	1	8	1
FAMILY: PGF_00057445	FAMILY Name: 2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)	1	8	1
FAMILY: PGF_00057483	FAMILY Name: Transcription termination factor Rho	1	8	1
FAMILY: PGF_00057485	FAMILY Name: Transcription termination protein NusA	1	8	1
FAMILY: PGF_00057488	FAMILY Name: Transcription termination protein NusB	1	8	1
FAMILY: PGF_00057872	FAMILY Name: Transcriptional regulator	1	8	1
FAMILY: PGF_00058386	FAMILY Name: Transcriptional regulator	1	8	1
FAMILY: PGF_00058433	FAMILY Name: Transcriptional regulator	1	8	2
FAMILY: PGF_00058558	FAMILY Name: Transcriptional regulator FtcR	1	8	1
FAMILY: PGF_00058631	FAMILY Name: Transcriptional regulator NarR	1	8	1
FAMILY: PGF_00058645	FAMILY Name: Transcriptional regulator PobR, AraC family	1	8	0
FAMILY: PGF_00058648	FAMILY Name: Transcriptional regulator RSp1267, LysR family	1	8	1
FAMILY: PGF_00058692	FAMILY Name: Transcriptional regulator, TetR family	1	8	1
FAMILY: PGF_00058732	FAMILY Name: Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain	1	8	1
FAMILY: PGF_00059034	FAMILY Name: Transcriptional regulator, ArsR family / Methyltransferase fusion	1	8	1
FAMILY: PGF_00059036	FAMILY Name: Transcriptional regulator, AsnC family	1	8	1
FAMILY: PGF_00059092	FAMILY Name: Transcriptional regulator, Xre family	1	8	1
FAMILY: PGF_00059465	FAMILY Name: Transcriptional regulator, LuxR family	2	16	2
FAMILY: PGF_00059516	FAMILY Name: Transcriptional regulator, LysR family, in glycolate utilization operon	1	8	1
FAMILY: PGF_00059604	FAMILY Name: Transcriptional regulator, MarR family	0	NaN	0
FAMILY: PGF_00059681	FAMILY Name: Transcriptional regulator, MerR family	5	40	5
FAMILY: PGF_00060332	FAMILY Name: Transglutaminase-like cysteine peptidase	1	8	1
FAMILY: PGF_00060377	FAMILY Name: Transglycosylase associated gene	0	0	1
FAMILY: PGF_00060398	FAMILY Name: Transketolase (EC 2.2.1.1)	1	8	1
FAMILY: PGF_00060409	FAMILY Name: Translation elongation factor G	1	8	1
FAMILY: PGF_00060414	FAMILY Name: Translation elongation factor LepA	1	8	1
FAMILY: PGF_00060421	FAMILY Name: Translation elongation factor P	1	8	1
FAMILY: PGF_00060427	FAMILY Name: Translation elongation factor Ts	1	8	1
FAMILY: PGF_00060428	FAMILY Name: Translation elongation factor Tu	2	16	2
FAMILY: PGF_00060431	FAMILY Name: Translation initiation factor 1	1	8	1
FAMILY: PGF_00060478	FAMILY Name: Translation initiation factor 3	1	8	1
FAMILY: PGF_00060519	FAMILY Name: Transmembrane component NikQ of energizing module of nickel ECF transporter	1	8	1
FAMILY: PGF_00060720	FAMILY Name: UPF0126 inner membrane protein CC_3680	1	8	1
FAMILY: PGF_00060889	FAMILY Name: ABC transporter, ATP-binding protein PA3838	1	8	1
FAMILY: PGF_00061003	FAMILY Name: ABC transporter, ATP-binding protein (cluster 1, maltose/g3p/polyamine/iron); ABC transporter, ATP-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)	1	8	1
FAMILY: PGF_00061049	FAMILY Name: Transporter, LysE family	1	8	1
FAMILY: PGF_00061115	FAMILY Name: Transposase	1	8	1
FAMILY: PGF_00061174	FAMILY Name: Transposase	1	8	1
FAMILY: PGF_00061250	FAMILY Name: Transposase	1	8	1
FAMILY: PGF_00061273	FAMILY Name: Transposase	1	8	1
FAMILY: PGF_00061607	FAMILY Name: ApaG protein	1	8	1
FAMILY: PGF_00061914	FAMILY Name: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) @ 2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	1	8	1
FAMILY: PGF_00061948	FAMILY Name: TrkA family protein	1	8	1
FAMILY: PGF_00062023	FAMILY Name: Tryptophan synthase alpha chain (EC 4.2.1.20)	1	8	1
FAMILY: PGF_00062027	FAMILY Name: Tryptophan synthase beta chain (EC 4.2.1.20)	1	8	1
FAMILY: PGF_00062045	FAMILY Name: Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	1	8	1
FAMILY: PGF_00062058	FAMILY Name: tRNA threonylcarbamoyladenosine biosynthesis protein TsaE / Phosphotransferase involved in threonylcarbamoyladenosine t(6)A37 formation in tRNA	1	8	1
FAMILY: PGF_00063152	FAMILY Name: Type 1 capsular polysaccharide biosynthesis protein J	1	8	1
FAMILY: PGF_00063186	FAMILY Name: Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	1	8	1
FAMILY: PGF_00063791	FAMILY Name: Type V secretory pathway, adhesin AidA	1	8	2
FAMILY: PGF_00063815	FAMILY Name: Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation	1	8	1
FAMILY: PGF_00063820	FAMILY Name: Type cbb3 cytochrome oxidase biogenesis protein CcoH	1	8	1
FAMILY: PGF_00063916	FAMILY Name: Tyrosyl-tRNA synthetase (EC 6.1.1.1)	1	8	1
FAMILY: PGF_00063938	FAMILY Name: UDP-2,3-diacylglucosamine pyrophosphatase	1	8	1
FAMILY: PGF_00063944	FAMILY Name: UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)	1	8	1
FAMILY: PGF_00063948	FAMILY Name: UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)	1	8	1
FAMILY: PGF_00063954	FAMILY Name: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) @ Formyltransferase WbkC	1	8	1
FAMILY: PGF_00063974	FAMILY Name: UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)	1	8	1
FAMILY: PGF_00063993	FAMILY Name: UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	1	8	1
FAMILY: PGF_00063999	FAMILY Name: UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)	1	8	1
FAMILY: PGF_00064132	FAMILY Name: UDP-glucuronate decarboxylase (EC 4.1.1.35)	1	8	1
FAMILY: PGF_00064163	FAMILY Name: Arginase/agmatinase/formimionoglutamate hydrolase, arginase family	1	8	1
FAMILY: PGF_00064169	FAMILY Name: Arginase (EC 3.5.3.1)	1	8	1
FAMILY: PGF_00064171	FAMILY Name: UPF0053 inner membrane protein YoaE	1	8	1
FAMILY: PGF_00064280	FAMILY Name: UPF0260 protein YcgN	1	8	1
FAMILY: PGF_00064378	FAMILY Name: Transmembrane protein YfcA	1	8	1
FAMILY: PGF_00064393	FAMILY Name: UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	1	8	1
FAMILY: PGF_00064436	FAMILY Name: Ubiquinol-cytochrome C chaperone	1	8	1
FAMILY: PGF_00064438	FAMILY Name: Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)	1	8	1
FAMILY: PGF_00064460	FAMILY Name: Ubiquinone biosynthesis regulatory protein kinase UbiB	1	8	1
FAMILY: PGF_00064839	FAMILY Name: Uncharacterized monothiol glutaredoxin ycf64-like	1	8	1
FAMILY: PGF_00064897	FAMILY Name: Uncharacterized protein Atu0556 in flagellar synthesis cluster	1	8	1
FAMILY: PGF_00064933	FAMILY Name: Uncharacterized protein EC-HemY in Proteobacteria (unrelated to HemY-type PPO in GramPositives)	1	8	1
FAMILY: PGF_00065462	FAMILY Name: Uncharacterized protein YdcJ	1	8	2
FAMILY: PGF_00065734	FAMILY Name: Uncharacterized protein involved in exopolysaccharide biosynthesis	1	8	1
FAMILY: PGF_00065784	FAMILY Name: Uncharacterized protein, Bsl7517 homolog	1	8	1
FAMILY: PGF_00065806	FAMILY Name: Uncharacterized protein, possibly including a L,D-transpeptidase domain	1	8	1
FAMILY: PGF_00065887	FAMILY Name: Undecaprenyl diphosphate synthase (EC 2.5.1.31)	1	8	1
FAMILY: PGF_00065900	FAMILY Name: Undecaprenyl-glycosyltransferase WbkF	1	8	1
FAMILY: PGF_00065999	FAMILY Name: Universal stress protein family	2	16	2
FAMILY: PGF_00066028	FAMILY Name: AsmA family protein	1	8	1
FAMILY: PGF_00066123	FAMILY Name: Uracil phosphoribosyltransferase (EC 2.4.2.9)	1	8	1
FAMILY: PGF_00066195	FAMILY Name: Urease accessory protein UreE	1	8	1
FAMILY: PGF_00066203	FAMILY Name: Urease accessory protein UreE	1	8	1
FAMILY: PGF_00066214	FAMILY Name: Urease accessory protein UreG	2	16	2
FAMILY: PGF_00066215	FAMILY Name: Urease alpha subunit (EC 3.5.1.5)	2	16	2
FAMILY: PGF_00066216	FAMILY Name: Urease beta subunit (EC 3.5.1.5)	2	16	2
FAMILY: PGF_00066218	FAMILY Name: Urease gamma subunit (EC 3.5.1.5)	2	16	2
FAMILY: PGF_00066223	FAMILY Name: Ureidoglycine aminohydrolase	1	8	1
FAMILY: PGF_00066239	FAMILY Name: Uricase (urate oxidase) (EC 1.7.3.3) / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase (EC 4.1.1.97)	1	8	1
FAMILY: PGF_00066260	FAMILY Name: Urocanate hydratase (EC 4.2.1.49)	1	8	1
FAMILY: PGF_00066270	FAMILY Name: Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	1	8	1
FAMILY: PGF_00066294	FAMILY Name: Uroporphyrinogen-III synthase (EC 4.2.1.75)	1	8	1
FAMILY: PGF_00066309	FAMILY Name: Usg protein	1	8	1
FAMILY: PGF_00066453	FAMILY Name: Valyl-tRNA synthetase (EC 6.1.1.9)	1	8	1
FAMILY: PGF_00066550	FAMILY Name: Various polyols ABC transporter, substrate-binding protein	1	8	1
FAMILY: PGF_00066553	FAMILY Name: Vegetatible incompatibility protein HET-E-1	1	8	1
FAMILY: PGF_00066854	FAMILY Name: Aspartate ammonia-lyase (EC 4.3.1.1)	1	8	1
FAMILY: PGF_00066859	FAMILY Name: Xaa-Pro aminopeptidase (EC 3.4.11.9)	1	8	1
FAMILY: PGF_00066867	FAMILY Name: Xaa-Pro aminopeptidase (EC 3.4.11.9)	1	8	1
FAMILY: PGF_00066906	FAMILY Name: Aspartate carbamoyltransferase (EC 2.1.3.2)	1	8	1
FAMILY: PGF_00066930	FAMILY Name: Xanthine dehydrogenase, molybdenum binding subunit (EC 1.17.1.4)	1	8	1
FAMILY: PGF_00066964	FAMILY Name: Xanthine/uracil/thiamine/ascorbate permease family protein	1	8	1
FAMILY: PGF_00067029	FAMILY Name: Xylose ABC transporter, periplasmic xylose-binding protein XylF	1	8	1
FAMILY: PGF_00067043	FAMILY Name: Xylose ABC transporter, permease protein XylH	1	8	1
FAMILY: PGF_00067063	FAMILY Name: Xylose isomerase (EC 5.3.1.5)	1	8	1
FAMILY: PGF_00067129	FAMILY Name: Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9) @ Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)	1	8	1
FAMILY: PGF_00067188	FAMILY Name: Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	1	8	1
FAMILY: PGF_00067277	FAMILY Name: Valine--pyruvate aminotransferase (EC 2.6.1.66)	1	8	1
FAMILY: PGF_00067383	FAMILY Name: (R)-citramalate synthase (EC 2.3.1.182)	1	8	1
FAMILY: PGF_00067401	FAMILY Name: YpfJ protein, zinc metalloprotease superfamily	1	8	1
FAMILY: PGF_00067412	FAMILY Name: YrbA protein	1	8	1
FAMILY: PGF_00067466	FAMILY Name: Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)	1	8	1
FAMILY: PGF_00067470	FAMILY Name: Zinc carboxypeptidase A metalloprotease (M14):ATP/GTP-binding site motif A (P-loop):Sigma-54 factor interaction domain:ABC tr	1	8	1
FAMILY: PGF_00067547	FAMILY Name: Zinc uptake regulation protein Zur	1	8	1
FAMILY: PGF_00067554	FAMILY Name: Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)	1	8	1
FAMILY: PGF_00067739	FAMILY Name: [4Fe-4S] cluster assembly scaffold protein Mrp (=ApbC)	1	8	1
FAMILY: PGF_00067791	FAMILY Name: [Protein-PII] uridylyltransferase (EC 2.7.7.59) / [Protein-PII]-UMP uridylyl-removing enzyme	1	8	1
FAMILY: PGF_00067897	FAMILY Name: acid-shock protein, putative	1	8	1
FAMILY: PGF_00068055	FAMILY Name: alanine-rich protein SCI7.12c	1	8	1
FAMILY: PGF_00068562	FAMILY Name: aminotransferase, Class III pyridoxal-phosphate dependent	2	16	2
FAMILY: PGF_00068747	FAMILY Name: 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-) / 5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)	1	8	1
FAMILY: PGF_00069145	FAMILY Name: AzlC family protein	1	8	1
FAMILY: PGF_00069368	FAMILY Name: cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	1	8	1
FAMILY: PGF_00069558	FAMILY Name: 2-hydroxymuconic semialdehyde hydrolase (EC 3.7.1.9)	1	8	1
FAMILY: PGF_00070432	FAMILY Name: dNTP triphosphohydrolase, broad substrate specificity	1	8	1
FAMILY: PGF_00070754	FAMILY Name: ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines) / ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines)	1	8	1
FAMILY: PGF_00070916	FAMILY Name: BRO family protein	2	16	2
FAMILY: PGF_00070995	FAMILY Name: Membrane-bound lytic murein transglycosylase B	3	24	3
FAMILY: PGF_00071051	FAMILY Name: exonuclease, putative	1	8	1
FAMILY: PGF_00071068	FAMILY Name: exopolysaccharide production protein, putative	1	8	1
FAMILY: PGF_00071194	FAMILY Name: 2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	1	8	1
FAMILY: PGF_00071654	FAMILY Name: Bacterial sugar transferase	1	8	2
FAMILY: PGF_00071693	FAMILY Name: Glutamyl-Q tRNA(Asp) synthetase	1	8	1
FAMILY: PGF_00071938	FAMILY Name: Bacterioferritin (EC 1.16.3.1)	1	8	1
FAMILY: PGF_00072153	FAMILY Name: Bacteriophage capsid protein [General function prediction only]	1	8	1
FAMILY: PGF_00072335	FAMILY Name: 3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)	2	16	2
FAMILY: PGF_00072347	FAMILY Name: Bacteroid development protein BacA	1	8	1
FAMILY: PGF_00072486	FAMILY Name: hypothetical oxidoreductase related to N-acetylglucosamine utilization	1	8	1
FAMILY: PGF_00073098	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00074047	FAMILY Name: Phosphopantetheinyl transferase component of [brucebactin] siderophore synthetase (EC 2.7.8.-)	1	8	1
FAMILY: PGF_00079191	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_00081824	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00084324	FAMILY Name: Undecaprenyl-diphosphatase (EC 3.6.1.27)	1	8	1
FAMILY: PGF_00084680	FAMILY Name: Type II restriction adenine-specific methylase (EC 2.1.1.72)	1	8	1
FAMILY: PGF_00086673	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00098611	FAMILY Name: ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	4	32	4
FAMILY: PGF_00105337	FAMILY Name: Plasmid replication protein RepC	1	8	1
FAMILY: PGF_00108793	FAMILY Name: Sulfatase	1	8	1
FAMILY: PGF_00109481	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00111176	FAMILY Name: hypothetical protein	1	8	2
FAMILY: PGF_00113984	FAMILY Name: Flavin prenyltransferase UbiX	1	8	1
FAMILY: PGF_00114598	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00117359	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00118644	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00122094	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00123713	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00125348	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00126640	FAMILY Name: hypothetical protein	2	16	1
FAMILY: PGF_00129168	FAMILY Name: Amide synthase component of [brucebactin] siderophore synthetase @ Siderophore biosynthesis non-ribosomal peptide synthetase modules	1	8	1
FAMILY: PGF_00130916	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00131272	FAMILY Name: UPF0391 membrane protein RGE_28580	1	8	1
FAMILY: PGF_00136304	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00137998	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00141162	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00143105	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00144272	FAMILY Name: Dihydrofolate reductase (EC 1.5.1.3)	1	8	1
FAMILY: PGF_00145797	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00151424	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00151933	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00151959	FAMILY Name: hypothetical protein	0	0	0
FAMILY: PGF_00156490	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00158997	FAMILY Name: Aerobic cobaltochelatase CobT subunit (EC 6.6.1.2)	1	8	1
FAMILY: PGF_00159484	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00160037	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00160649	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00167910	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00169159	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00172204	FAMILY Name: FIG088476: hypothetical protein in Mg(2+) transport ATPase cluster	1	8	1
FAMILY: PGF_00174717	FAMILY Name: Uncharacterized UPF0118 membrane protein	1	8	1
FAMILY: PGF_00175255	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00176257	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00176718	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00184522	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00190642	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_00194700	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00204406	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00208269	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00208506	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00212465	FAMILY Name: Cytochrome b561	2	16	2
FAMILY: PGF_00212774	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00213073	FAMILY Name: 2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain	1	8	1
FAMILY: PGF_00214355	FAMILY Name: hypothetical protein	2	16	1
FAMILY: PGF_00217736	FAMILY Name: Cobalt ABC transporter, substrate-binding protein CbtJ	1	8	1
FAMILY: PGF_00222644	FAMILY Name: ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	7	56	7
FAMILY: PGF_00232221	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00237594	FAMILY Name: Transcriptional regulator YgbI, DeoR family	1	8	1
FAMILY: PGF_00239178	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00250507	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00252676	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00255269	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00259969	FAMILY Name: hypothetical protein	0	0	0
FAMILY: PGF_00261173	FAMILY Name: tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	1	8	1
FAMILY: PGF_00266197	FAMILY Name: 3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6)	1	8	0
FAMILY: PGF_00268687	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00271078	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00275556	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00278757	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00285620	FAMILY Name: ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	1	8	1
FAMILY: PGF_00295936	FAMILY Name: ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)	1	8	1
FAMILY: PGF_00304641	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00307973	FAMILY Name: Transcriptional regulator, RpiR family	2	16	2
FAMILY: PGF_00308413	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00311023	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00311178	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00311256	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00315101	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00321669	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00322829	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00323441	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_00323848	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_00324476	FAMILY Name: Membrane fusion component of MSF-type tripartite multidrug efflux system	2	16	4
FAMILY: PGF_00327648	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00328183	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00329637	FAMILY Name: putative membrane protein	1	8	1
FAMILY: PGF_00334388	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00336310	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00336880	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00342037	FAMILY Name: Foldase protein PrsA precursor (EC 5.2.1.8)	1	8	1
FAMILY: PGF_00345290	FAMILY Name: hypothetical protein	2	16	2
FAMILY: PGF_00345516	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00348797	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00350921	FAMILY Name: Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	1	8	1
FAMILY: PGF_00364704	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00365400	FAMILY Name: Trehalose utilization protein ThuA	1	8	1
FAMILY: PGF_00369871	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_00371963	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00375606	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00379870	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00380153	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00380777	FAMILY Name: Stresses-induced protein Ves (HutD)	1	8	1
FAMILY: PGF_00381100	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00382973	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00384624	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00384652	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00393545	FAMILY Name: Uncharacterized sodium-dependent transporter YocS	1	8	2
FAMILY: PGF_00396461	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00397755	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00399621	FAMILY Name: hypothetical protein NAS141_09886	1	8	1
FAMILY: PGF_00399673	FAMILY Name: hypothetical protein SMc03941	1	8	1
FAMILY: PGF_00399758	FAMILY Name: hypothetical protein that often co-occurs with aconitase	1	8	1
FAMILY: PGF_00400595	FAMILY Name: lipid A-myristate beta-hydroxylase (EC 1.14.11.-)	2	16	2
FAMILY: PGF_00401031	FAMILY Name: mandelate racemase/muconate lactonizing enzyme family protein	1	8	1
